Replaced Class,Replaced With Class,Modularized Accuracy,Model Accuracy,Diff,,,,
7,12,0.8388888889,0.7437198068,0.09516908213,,,,
1,12,0.8094202899,0.7219806763,0.08743961353,,,,
2,12,0.827294686,0.7758454106,0.05144927536,,,,
3,12,0.8224637681,0.7777777778,0.04468599034,,,,
4,12,0.815942029,0.7712560386,0.04468599034,,,,
2,3,0.9393978467,0.898974921,0.04042292567,,,,
0,12,0.8239130435,0.790821256,0.03309178744,,,,
6,12,0.8309178744,0.7980676329,0.03285024155,,,,
9,12,0.8234299517,0.7949275362,0.02850241546,,,,
5,3,0.9410740765,0.9194120302,0.02166204629,,,,
5,12,0.8299516908,0.8118357488,0.01811594203,,,,
8,3,0.9473921733,0.9335310425,0.01386113081,,,,
8,12,0.8326086957,0.8251207729,0.007487922705,,,,
6,3,0.9430726581,0.9417832506,0.001289407517,,,,
4,3,0.9381084392,0.9439752434,-0.005866804203,,,,
0,3,0.9401714912,0.9511959255,-0.01102443427,,,,
3,3,0.9387531429,0.954032622,-0.01527947908,,,,
1,3,0.935336213,0.9521629811,-0.0168267681,,,,
9,3,0.9412674876,0.965185997,-0.02391850944,,,,
7,3,0.942363484,0.974792083,-0.03242859906,,,,
6,9,0.8350680544,0.8967173739,-0.06164931946,,,,
6,1,0.80875417,0.8729437478,-0.06418957782,,,,
2,5,0.7835869005,0.8661681279,-0.08258122744,,,,
7,6,0.7956610725,0.8783462955,-0.08268522309,,,,
6,6,0.801473598,0.8849774867,-0.08350388866,,,,
3,7,0.796119209,0.8850617399,-0.08894253087,,,,
9,9,0.8218002974,0.9215372298,-0.0997369324,,,,
2,2,0.8181923859,0.9189189189,-0.100726533,,,,
1,4,0.7879725991,0.8942827032,-0.1063101041,,,,
6,2,0.8232490555,0.9302528335,-0.107003778,,,,
6,7,0.8256429301,0.9355677282,-0.1099247981,,,,
9,2,0.8185411218,0.9343795408,-0.1158384191,,,,
5,9,0.8126501201,0.9287429944,-0.1160928743,,,,
2,1,0.8066835385,0.9253997469,-0.1187162084,,,,
8,6,0.7899304134,0.9094555874,-0.119525174,,,,
7,4,0.8108286128,0.9305756817,-0.1197470689,,,,
8,9,0.8204277708,0.9424682603,-0.1220404895,,,,
6,4,0.8225530233,0.9451323936,-0.1225793703,,,,
2,9,0.8124213657,0.9374356628,-0.1250142972,,,,
3,6,0.7882112157,0.9136307818,-0.1254195661,,,,
3,2,0.8149956408,0.9414123801,-0.1264167393,,,,
0,6,0.7783053623,0.9048710602,-0.1265656979,,,,
8,2,0.8170880558,0.9443766347,-0.1272885789,,,,
2,4,0.809050191,0.9365037544,-0.1274535634,,,,
5,5,0.7822975761,0.9110366168,-0.1287390407,,,,
1,7,0.780893139,0.9113359948,-0.1304428558,,,,
7,9,0.8188264898,0.9497884022,-0.1309619124,,,,
9,6,0.793532542,0.924519034,-0.130986492,,,,
8,4,0.8081280464,0.940324068,-0.1321960216,,,,
5,2,0.813833188,0.9461784365,-0.1323452485,,,,
3,11,0.7907367008,0.9236449069,-0.1329082061,,,,
6,11,0.806678973,0.9400906192,-0.1334116462,,,,
7,2,0.8183667539,0.9524556815,-0.1340889276,,,,
4,1,0.8045553894,0.9393189923,-0.1347636029,,,,
9,11,0.7915757677,0.9264977345,-0.1349219668,,,,
8,1,0.8062233981,0.9413896238,-0.1351662257,,,,
8,11,0.7964423561,0.9316999497,-0.1352575936,,,,
3,9,0.8102481986,0.9458995768,-0.1356513782,,,,
9,4,0.8108944803,0.9472401528,-0.1363456725,,,,
9,1,0.806741056,0.9435177729,-0.1367767169,,,,
3,4,0.8064813595,0.9432881043,-0.1368067448,,,,
7,1,0.8069136087,0.9438053606,-0.136891752,,,,
0,7,0.7943552131,0.9322254201,-0.137870207,,,,
0,1,0.8004141263,0.9397216151,-0.1393074888,,,,
7,11,0.8095318006,0.948984729,-0.1394529283,,,,
8,7,0.7958406833,0.9368675146,-0.1410268313,,,,
2,7,0.7965834184,0.9383529849,-0.1417695664,,,,
1,2,0.7976750944,0.9396105783,-0.1419354839,,,,
0,11,0.7878838731,0.9310286961,-0.143144823,,,,
5,11,0.79812049,0.9422721933,-0.1441517033,,,,
4,2,0.8130775937,0.9572798605,-0.1442022668,,,,
3,1,0.8065685034,0.9508800184,-0.144311515,,,,
2,11,0.8033227052,0.9479778486,-0.1446551435,,,,
9,7,0.8103240182,0.9556215765,-0.1452975583,,,,
3,5,0.7864234141,0.9326328004,-0.1462093863,,,,
7,5,0.7860366168,0.9322460031,-0.1462093863,,,,
6,5,0.7845538938,0.9324394018,-0.147885508,,,,
4,4,0.8023317086,0.9509287314,-0.1485970228,,,,
0,2,0.8089508864,0.9575704737,-0.1486195873,,,,
9,10,0.7860294118,0.9352941176,-0.1492647059,,,,
5,6,0.7851002865,0.9354891527,-0.1503888661,,,,
5,4,0.80516401,0.9560005269,-0.1508365169,,,,
7,7,0.8004827778,0.9513508495,-0.1508680717,,,,
9,5,0.7817173801,0.9331485302,-0.1514311501,,,,
5,1,0.8043253192,0.9558265271,-0.1515012079,,,,
6,10,0.7909313725,0.943504902,-0.1525735294,,,,
1,9,0.7964085554,0.9497884022,-0.1533798467,,,,
8,10,0.7629901961,0.9194852941,-0.156495098,,,,
0,9,0.8072743909,0.9648861947,-0.1576118037,,,,
4,9,0.8048724694,0.9627130276,-0.1578405582,,,,
5,7,0.7943552131,0.9533005292,-0.1589453161,,,,
1,1,0.7891406879,0.9486368342,-0.1594961463,,,,
2,6,0.7921408105,0.9553008596,-0.1631600491,,,,
0,4,0.7981820577,0.9617309972,-0.1635489395,,,,
4,11,0.7843597919,0.9486491022,-0.1642893103,,,,
1,11,0.7751300554,0.9427756335,-0.1676455781,,,,
4,6,0.7813344249,0.9527629963,-0.1714285714,,,,
4,7,0.7913842726,0.9634202952,-0.1720360227,,,,
4,5,0.7851340897,0.9634476534,-0.1783135637,,,,
2,10,0.7616421569,0.9405637255,-0.1789215686,,,,
1,6,0.7678264429,0.9470323373,-0.1792058944,,,,
7,10,0.7674019608,0.9477941176,-0.1803921569,,,,
3,10,0.7699754902,0.9514705882,-0.181495098,,,,
0,10,0.7662990196,0.9488970588,-0.1825980392,,,,
0,5,0.7823620423,0.9657039711,-0.1833419288,,,,
5,10,0.7640931373,0.9476715686,-0.1835784314,,,,
4,10,0.7595588235,0.9452205882,-0.1856617647,,,,
1,5,0.7717895823,0.9583548221,-0.1865652398,,,,
8,5,0.7849406911,0.9740845797,-0.1891438886,,,,
1,10,0.7468137255,0.9507352941,-0.2039215686,,,,
7,8,0.7132345915,0.9248924988,-0.2116579073,,,,
8,8,0.7139990444,0.9329192547,-0.2189202102,,,,
4,8,0.705112279,0.9432393693,-0.2381270903,,,,
6,8,0.713616818,0.9564261825,-0.2428093645,,,,
9,8,0.7053989489,0.9502150024,-0.2448160535,,,,
5,8,0.7049211658,0.9543239369,-0.2494027711,,,,
3,8,0.7100812231,0.963306259,-0.2532250358,,,,
2,8,0.7089345437,0.9644529384,-0.2555183946,,,,
0,8,0.6991877688,0.9609173435,-0.2617295748,,Mean,Median,Better in
1,8,0.6830387004,0.9507883421,-0.2677496417,,-0.1223143972,-0.1367917309,0.1166666667